Date,Close,High,Low,Open,Volume
2020-01-01,1841.1494140625,1854.9943921477904,1829.5975545391166,1841.4890892482845,1354908
2020-01-02,1832.6978759765625,1851.6394346034203,1825.5205264223189,1851.6394346034203,2380752
2020-01-03,1869.22216796875,1888.2062407877997,1838.0919051123701,1838.0919051123701,4655761
2020-01-06,1869.0521240234375,1890.7117073905645,1858.3921699507205,1872.91691468686,3023209
2020-01-07,1873.6392822265625,1881.1137972699646,1854.9100686216645,1869.0949330238905,2429317
2020-01-08,1915.5992431640625,1919.6338718770785,1870.411443052674,1872.917118357946,5197454
2020-01-09,1880.85888671875,1912.7960310298683,1877.1639335839625,1910.0780070800613,3734173
2020-01-10,1880.178466796875,1897.548554209519,1875.464282763929,1892.4521838759213,1915807
2020-01-13,1860.473388671875,1884.7659738812758,1855.6741800031211,1883.8317633185686,2843893
2020-01-14,1874.5306396484375,1893.9819188803635,1864.422917259899,1864.422917259899,2948452
2020-01-15,1891.51904296875,1895.001647995885,1863.7438473792888,1879.7125266763305,2620681
2020-01-16,1901.6263427734375,1910.2901338313272,1881.4106920570875,1891.5609249710044,3117214
2020-01-17,1884.893310546875,1914.1549389795516,1879.7119159454812,1903.2826369881777,3281059
2020-01-20,1843.4857177734375,1904.5146637131754,1831.46664629897,1864.3382126609704,5817599
2020-01-21,1844.080322265625,1857.245953804403,1833.0381796847144,1843.1459041753758,1902980
2020-01-22,1874.5306396484375,1877.163848357347,1846.3307536271377,1852.5313815689474,1773686
2020-01-23,1865.2088623046875,1888.0243942421835,1859.036761365332,1881.2564078841476,2069866
2020-01-24,1858.781005859375,1865.2085445525686,1847.3733457554258,1865.2085445525686,1319430
2020-01-27,1846.7354736328125,1867.337482755451,1843.1173448957193,1864.1450162227216,1549101
2020-01-28,1859.0797119140625,1862.5276174017,1832.050161437464,1850.7792987755795,1743024
2020-01-29,1834.2635498046875,1861.8037681541525,1830.3473746102372,1860.1437272201713,2306761
2020-01-30,1820.0035400390625,1843.1169091342633,1809.0639408361708,1838.8602880970018,2098567
2020-01-31,1769.946044921875,1825.537570109877,1763.6037196762882,1821.3233480328813,3287223
2020-02-03,1789.9088134765625,1868.4008492457172,1781.991458250297,1832.0493539127526,4728073
2020-02-04,1794.3787841796875,1819.0245809705073,1776.3733584635934,1812.469425462486,3509339
2020-02-05,1827.4100341796875,1836.0508918196194,1791.441586117532,1800.550713643998,2439322
2020-02-06,1811.9163818359375,1850.9494811278364,1800.9767800865868,1826.0908500523417,2640065
2020-02-07,1818.8968505859375,1831.1984443127308,1803.9560685721415,1820.9825534100098,2083442
2020-02-10,1840.520751953125,1844.819981757914,1803.9564104037934,1822.6003316969623,2383032
2020-02-11,1833.2413330078125,1851.4597944393743,1828.30381923486,1841.4141279471985,1335820
2020-02-12,1848.0120849609375,1860.1434553217314,1830.3471070671499,1831.283646863712,1620407
2020-02-13,1866.0601806640625,1870.35940976988,1848.2249788850293,1849.8850196328256,1645948
2020-02-14,1859.46240234375,1883.1292582794824,1848.2249637092027,1862.6974760920018,1500115
